combo_name,parser_model,grader_model,auditor_model,n,icc_a1,mae,mean_error_bias,exact_match_pct,within_1_mark_pct,pearson_r,spearman_rho,automation_rate_pct,flag_rate_pct,flagging_recall_pct,flagging_precision_pct,flagging_f1_pct,leakage_fn_rate_pct,overflag_fp_rate_pct,auto_approved_icc,auto_approved_mae,auto_approved_n,total_cost_usd,avg_latency_s
G-claude_A-gemini,(none),claude,gemini,100,0.7763,0.78,-0.25,40.0,74.0,0.7826,0.7383,100.0,0.0,0.0,,,100.0,0.0,0.7763,0.78,100,2.1805,25.24
G-claude_A-claude,(none),claude,claude,100,0.7416,0.87,-0.32,34.0,71.0,0.7528,0.694,100.0,0.0,0.0,,,100.0,0.0,0.7416,0.87,100,3.4182,33.65
