n,icc_a1,mae,mean_error_bias,exact_match_pct,within_1_mark_pct,pearson_r,spearman_rho,question_no,model_key
25,0.4346,1.24,-1.24,40.0,64.0,0.577,0.5937,Q22,gemini
25,0.734,0.92,-0.6,40.0,80.0,0.7681,0.6981,Q6,gemini
25,0.8314,0.8,0.64,12.0,88.0,0.9055,0.8714,Q8,gemini
25,0.7336,0.64,0.0,44.0,80.0,0.7255,0.7985,Q9,gemini
25,0.4334,1.32,-1.32,28.0,60.0,0.6563,0.6838,Q22,claude
25,0.6549,1.08,-0.84,32.0,76.0,0.7426,0.6572,Q6,claude
25,0.7834,0.76,0.28,20.0,84.0,0.8095,0.8123,Q8,claude
25,0.7707,0.52,0.24,40.0,88.0,0.8265,0.8731,Q9,claude
